open_time,open,high,low,close
2022-01-08 03:55:00+09:00,41623.5,41636.0,41623.5,41636.0
2022-01-08 03:56:00+09:00,41636.0,41665.0,41636.0,41665.0
2022-01-08 03:57:00+09:00,41665.0,41672.5,41664.0,41672.0
2022-01-08 03:58:00+09:00,41672.0,41699.5,41672.0,41699.5
2022-01-08 03:59:00+09:00,41699.5,41700.0,41699.0,41700.0
2022-01-08 04:00:00+09:00,41700.0,41736.0,41700.0,41736.0
2022-01-08 04:01:00+09:00,41736.0,41736.0,41711.5,41715.5
2022-01-08 04:02:00+09:00,41715.5,41753.5,41715.0,41738.5
2022-01-08 04:03:00+09:00,41738.5,41753.0,41710.0,41731.5
2022-01-08 04:04:00+09:00,41731.5,41731.5,41672.0,41674.0
2022-01-08 04:05:00+09:00,41674.0,41674.0,41589.0,41589.0
2022-01-08 04:06:00+09:00,41589.0,41596.0,41582.5,41585.5
2022-01-08 04:07:00+09:00,41585.5,41588.5,41562.5,41588.5
2022-01-08 04:08:00+09:00,41588.5,41610.0,41585.0,41585.0
2022-01-08 04:09:00+09:00,41585.0,41585.5,41558.5,41558.5
2022-01-08 04:10:00+09:00,41558.5,41563.5,41532.0,41552.5
2022-01-08 04:11:00+09:00,41552.5,41601.5,41548.0,41592.0
2022-01-08 04:12:00+09:00,41592.0,41592.0,41555.5,41555.5
2022-01-08 04:13:00+09:00,41555.5,41566.5,41553.0,41553.0
2022-01-08 04:14:00+09:00,41553.0,41563.5,41549.5,41549.5
2022-01-08 04:15:00+09:00,41549.5,41581.5,41549.0,41577.0
2022-01-08 04:16:00+09:00,41577.0,41630.0,41575.5,41615.5
2022-01-08 04:17:00+09:00,41615.5,41647.5,41611.5,41646.0
2022-01-08 04:18:00+09:00,41646.0,41647.0,41615.5,41624.0
2022-01-08 04:19:00+09:00,41624.0,41642.5,41613.5,41628.0
2022-01-08 04:20:00+09:00,41628.0,41628.0,41599.5,41605.0
2022-01-08 04:21:00+09:00,41605.0,41605.5,41578.0,41579.0
2022-01-08 04:22:00+09:00,41579.0,41600.0,41576.0,41593.5
2022-01-08 04:23:00+09:00,41593.5,41593.5,41573.5,41574.0
2022-01-08 04:24:00+09:00,41574.0,41603.0,41573.0,41602.5
2022-01-08 04:25:00+09:00,41602.5,41602.5,41580.5,41592.5
2022-01-08 04:26:00+09:00,41592.5,41695.5,41592.5,41695.5
2022-01-08 04:27:00+09:00,41695.5,41697.5,41671.0,41695.0
2022-01-08 04:28:00+09:00,41695.0,41695.0,41668.0,41689.0
2022-01-08 04:29:00+09:00,41689.0,41689.0,41688.0,41689.0
2022-01-08 04:30:00+09:00,41689.0,41742.5,41689.0,41742.5
2022-01-08 04:31:00+09:00,41742.5,41746.5,41741.0,41746.5
2022-01-08 04:32:00+09:00,41746.5,41778.0,41738.0,41738.0
2022-01-08 04:33:00+09:00,41738.0,41740.0,41707.0,41709.5
